Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:44:40

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.4

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
       0  3999,76        0  0,61037
     0,5  3999,76        0  3,66222
       1  3999,76        0  3,66222
     1,5  3999,76        0  3498,03
       2  3999,76        0  3498,03
     2,5  3999,76        0  7879,88
       3  3999,76        0  7879,88
     3,5  3999,76  68,3615   9375,9
       4  3999,76  172,124   9375,9
     4,5  3999,76  274,056   9711,6
       5  3999,76  348,521  9775,69
     5,5  3999,76  447,401  9825,13
       6  3999,76  557,878  9837,34
     6,5  3999,76  617,084  9849,54
       7  3999,76  700,095  9845,88
     7,5  3999,76  795,923  9843,44
       8  3999,76  905,179  9850,15
     8,5  3999,76  1002,84   9858,7
       9  3999,76  1111,48  9855,65
     9,5  3999,76   1229,9  9831,84
      10  3999,76  1325,11  9834,89
    10,5  3999,76  1411,79  9840,39
      11  3999,76  1505,17  9815,36
    11,5  3999,76  1596,73  9845,88
      12  3999,76  1692,56  9865,41
    12,5  3999,76   1783,5   9864,8
      13  3999,76  1879,94  9853,21
    13,5  3999,76  1973,94  9837,95
      14  3999,76  2074,65  9854,43
    14,5  3999,76  2164,98  9843,44
      15  3999,76  2267,53  9834,89
    15,5  3999,76  2372,51  9830,01
      16  3999,76  2461,01  9794,61
    16,5  3999,76  2580,65  9792,78
      17  3999,76  2674,64  9792,17
    17,5  3999,76  2787,56  9804,38
      18  3999,76  2873,01  9789,73
    18,5  3999,76  2973,72  9772,03
      19  3999,76  3062,23  9762,26
    19,5  3999,76  3151,34  9790,95
      20  3999,76  3243,51  9809,87
    20,5  3999,76  3345,44  9815,97
      21  3999,76  3442,49  9815,36
    21,5  3999,76  3552,96  9794,61
      22  3999,76  3653,68  9800,71
    22,5  3999,76  3746,45  9779,35
      23  3999,76  3842,28  9775,69
    23,5  3999,76  3941,77  9767,14
      24  3999,76  4029,66  9773,25
    24,5  3999,76  4124,88  9765,31
      25  3999,76  4221,93  9760,43
    25,5  3999,76  4305,55  9755,55
      26  3999,76   4384,9   9717,7
    26,5  3999,76  4481,34   9729,3
      27  3999,76  4587,54  9739,68
    27,5  3999,76  4690,08  9736,62
      28  3999,76  4772,48  9739,07
    28,5  3999,76  4852,44  9745,78
      29  3999,76  4928,13   9740,9
    29,5  3999,76  5012,36   9740,9
      30  3999,76  5119,79   9764,7
    30,5  3999,76  5198,52  9765,31
      31  3999,76  5283,36  9778,74
    31,5  3999,76  5370,65  9797,05
      32  3999,76  5470,14  9806,21
    32,5  3999,76  5565,97  9810,48
      33  3999,76  5665,46  9791,56
    33,5  3999,76  5753,35  9770,81
      34  3999,76  5814,39  9764,09
    34,5  3999,76  5891,29  9751,88
      35  3999,76  5995,67  9768,36
    35,5  3999,76  6081,73  9761,04
      36  3999,76  6156,19  9761,04
    36,5  3999,76  6244,09  9781,18
      37  3999,76  6330,15  9775,69
    37,5  3999,76  6405,22  9767,14
      38  3999,76  6492,51  9732,35
