Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 12:02:32

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 5
   Valvula_B: 0
   Valvula_C: 3

PARAMETROS_DO_CONTROLADOR:
   KP=3
   KI=0

Controlo: Nivel2

       Tabela de Dados



  Tempo  SetPoint  Nivel2   Caudal 
       0  3999,76  185,553  0,61037
     0,5  3999,76   180,67  5,49333
       1  3999,76  187,994  5,49333
     1,5  3999,76   181,28  4032,11
       2  3999,76  185,553  4032,11
     2,5  3999,76  180,059  8312,02
       3  3999,76  186,163  8312,02
     3,5  3999,76  179,449  9504,68
       4  3999,76   181,28  9504,68
     4,5  3999,76  178,838  9830,01
       5  3999,76   180,67  9906,92
     5,5  3999,76  178,228   9964,9
       6  3999,76  177,007  9988,71
     6,5  3999,76  184,332   9994,2
       7  3999,76  219,733  9972,23
     7,5  3999,76  222,175  9959,41
       8  3999,76  254,524  9963,68
     8,5  3999,76  275,887  9969,18
       9  3999,76  302,133  9966,73
     9,5  3999,76  339,976  9985,66
      10  3999,76  394,299  9961,85
    10,5  3999,76  420,545  9938,05
      11  3999,76  457,167  9943,54
    11,5  3999,76    494,4  9957,58
      12  3999,76  513,932  9966,73
    12,5  3999,76  554,826  9956,97
      13  3999,76  573,138  9964,29
    13,5  3999,76  614,643  9965,51
      14  3999,76  674,459  9973,45
    14,5  3999,76  727,561  9959,41
      15  3999,76  772,729  9974,06
    15,5  3999,76  793,481  9960,02
      16  3999,76   824,61   9900,2
    16,5  3999,76   873,44  9788,51
      17  3999,76  900,296  9660,94
    17,5  3999,76  932,646  9565,72
      18  3999,76  969,878  9460,74
    18,5  3999,76   1012,6  9350,26
      19  3999,76  1056,55  9244,06
    19,5  3999,76   1077,3  9131,14
      20  3999,76  1129,18  9004,79
    20,5  3999,76  1157,26  8874,78
      21  3999,76  1190,22  8735,62
    21,5  3999,76  1229,29  8609,88
      22  3999,76  1257,36  8492,08
    22,5  3999,76  1282,39  8376,72
      23  3999,76  1311,69  8267,46
    23,5  3999,76  1341,59  8160,65
      24  3999,76  1378,22  8047,73
    24,5  3999,76  1403,24   7934,2
      25  3999,76  1435,59  7814,57
    25,5  3999,76  1469,16   7722,4
      26  3999,76  1484,42  7625,97
    26,5  3999,76  1515,55  7513,05
      27  3999,76  1540,57  7402,57
    27,5  3999,76  1553,39  7337,26
      28  3999,76  1578,42  7234,72
    28,5  3999,76  1604,66  7137,67
      29  3999,76  1626,64   7057,1
    29,5  3999,76  1649,83  6967,38
      30  3999,76  1671,19  6899,62
    30,5  3999,76  1693,17     6816
      31  3999,76  1705,37  6712,24
    31,5  3999,76  1720,63  6637,78
      32  3999,76  1743,22  6598,71
    32,5  3999,76   1754,2   6527,3
      33  3999,76  1784,72  6476,64
    33,5  3999,76  1797,54   6415,6
      34  3999,76  1815,85  6350,29
    34,5  3999,76  1837,82  6275,22
      35  3999,76  1851,25  6194,65
    35,5  3999,76  1856,14  6120,79
      36  3999,76  1865,29  6073,79
    36,5  3999,76  1890,93  6040,22
      37  3999,76  1900,69  6017,03
    37,5  3999,76  1912,29  5984,68
      38  3999,76  1926,94  5925,47
    38,5  3999,76  1951,96  5869,32
      39  3999,76  1955,02  5816,83
    39,5  3999,76  1964,17  5769,22
      40  3999,76  1973,33  5706,35
    40,5  3999,76  1976,99   5656,3
      41  3999,76  1988,59  5605,03
    41,5  3999,76  1993,47  5580,61
      42  3999,76  2004,46  5554,37
    42,5  3999,76  2018,49  5533,01
      43  3999,76  2023,99  5499,44
    43,5  3999,76  2033,75  5478,07
      44  3999,76  2037,42  5451,22
    44,5  3999,76  2039,25  5429,85
      45  3999,76  2044,74  5402,39
    45,5  3999,76   2048,4  5395,06
      46  3999,76  2061,83  5371,87
    46,5  3999,76   2071,6  5346,84
      47  3999,76  2077,09  5321,21
    47,5  3999,76  2084,41  5298,01
      48  3999,76  2086,86  5269,94
    48,5  3999,76  2094,79  5248,57
      49  3999,76  2113,71  5224,77
    49,5  3999,76  2117,98   5191,2
      50  3999,76  2110,66  5144,81
    50,5  3999,76  2122,26  5113,68
      51  3999,76  2133,85  5088,05
    51,5  3999,76  2145,45  5076,45
      52  3999,76   2148,5  5070,35
    52,5  3999,76  2155,22  5055,09
      53  3999,76  2160,71  5027,62
    53,5  3999,76  2156,44  5007,48
      54  3999,76   2160,1  4984,89
    54,5  3999,76  2158,27   4973,3
      55  3999,76  2158,88  4982,45
    55,5  3999,76  2161,93  4953,15
      56  3999,76  2164,37  4942,17
    56,5  3999,76  2165,59  4936,67
      57  3999,76  2179,02  4941,56
    57,5  3999,76  2181,46   4950,1
      58  3999,76  2188,18  4933,62
    58,5  3999,76  2192,45  4917,75
      59  3999,76  2199,77  4882,96
    59,5  3999,76  2200,99  4859,16
      60  3999,76  2203,44  4837,79
    60,5  3999,76  2197,94  4831,08
      61  3999,76  2205,27   4820,7
    61,5  3999,76  2197,94  4812,77
      62  3999,76  2206,49  4819,48
    62,5  3999,76  2213,81  4802,39
      63  3999,76  2210,15  4799,34
    63,5  3999,76  2216,25  4799,95
      64  3999,76  2210,76  4798,12
    64,5  3999,76  2215,64  4783,47
      65  3999,76  2218,09  4778,59
    65,5  3999,76  2221,75  4781,03
      66  3999,76  2212,59  4781,64
    66,5  3999,76  2218,09  4774,32
      67  3999,76   2218,7  4762,72
    67,5  3999,76  2226,63   4761,5
      68  3999,76  2220,53  4777,37
    68,5  3999,76   2224,8  4777,98
      69  3999,76   2224,8  4769,43
    69,5  3999,76  2224,19  4774,32
      70  3999,76  2224,19  4772,48
    70,5  3999,76  2214,42  4770,04
      71  3999,76   2218,7  4768,82
    71,5  3999,76  2218,09  4770,65
      72  3999,76  2223,58   4761,5
    72,5  3999,76  2221,75   4761,5
      73  3999,76   2230,9  4760,28
    73,5  3999,76  2231,51  4762,11
      74  3999,76  2238,84  4752,34
    74,5  3999,76  2234,57  4737,69
      75  3999,76  2241,89  4734,64
    75,5  3999,76  2241,28  4728,54
      76  3999,76   2242,5  4717,55
    76,5  3999,76  2239,45  4701,07
      77  3999,76  2243,72  4704,12
    77,5  3999,76  2243,72  4715,11
      78  3999,76  2247,38  4704,73
    78,5  3999,76  2260,81  4691,92
      79  3999,76  2265,08  4678,49
    79,5  3999,76  2269,97  4685,81
      80  3999,76  2265,69  4677,27
    80,5  3999,76  2267,53  4641,87
      81  3999,76  2269,36  4623,55
    81,5  3999,76  2269,97  4630,88
      82  3999,76  2269,97  4619,89
    82,5  3999,76  2276,68  4623,55
      83  3999,76   2277,9  4613,18
    83,5  3999,76  2269,36  4613,18
      84  3999,76  2268,75  4619,28
    84,5  3999,76  2271,19  4607,07
      85  3999,76  2276,07   4602,8
    85,5  3999,76   2277,9  4590,59
      86  3999,76  2274,85  4598,53
    86,5  3999,76  2273,63  4582,66
      87  3999,76  2270,58  4593,65
    87,5  3999,76  2268,14  4589,37
      88  3999,76  2266,91  4581,44
    88,5  3999,76  2268,14  4593,04
      89  3999,76  2269,97   4596,7
    89,5  3999,76  2278,51  4607,07
      90  3999,76  2277,29  4618,06
    90,5  3999,76  2282,78  4618,67
      91  3999,76  2280,95  4610,74
    91,5  3999,76  2276,07   4591,2
      92  3999,76   2271,8  4597,31
    92,5  3999,76  2273,63  4593,65
      93  3999,76  2278,51   4596,7
    93,5  3999,76   2271,8  4562,52
      94  3999,76  2281,56     4532
    94,5  3999,76  2278,51  4510,64
      95  3999,76  2279,73  4488,66
    95,5  3999,76  2279,73  4495,38
      96  3999,76  2276,07  4501,48
    96,5  3999,76  2276,07  4499,65
      97  3999,76  2277,29  4484,39
    97,5  3999,76   2277,9  4464,25
      98  3999,76  2282,17  4465,47
    98,5  3999,76  2279,73   4478,9
      99  3999,76  2278,51  4480,12
    99,5  3999,76   2277,9  4479,51
     100  3999,76  2276,07   4491,1
   100,5  3999,76  2284,62  4486,22
     101  3999,76  2270,58  4499,65
   101,5  3999,76  2274,24  4491,71
     102  3999,76  2273,63  4494,16
   102,5  3999,76  2268,75  4494,77
     103  3999,76  2273,63  4505,75
   103,5  3999,76  2273,63  4505,75
     104  3999,76  2268,14   4508,8
   104,5  3999,76  2267,53  4500,87
     105  3999,76  2273,02  4503,31
   105,5  3999,76  2273,63   4514,3
     106  3999,76  2274,24  4519,79
   106,5  3999,76  2266,91  4517,35
     107  3999,76  2274,85  4497,21
   107,5  3999,76   2266,3  4509,42
     108  3999,76  2258,98  4521,62
   108,5  3999,76  2262,64  4528,34
     109  3999,76  2257,15  4544,82
   109,5  3999,76  2259,59  4552,14
     110  3999,76  2263,86  4547,26
   110,5  3999,76  2260,81  4545,43
     111  3999,76  2253,49  4537,49
   111,5  3999,76  2255,32  4542,99
     112  3999,76  2265,08  4557,63
   112,5  3999,76  2258,37  4565,57
     113  3999,76  2259,59  4550,92
   113,5  3999,76  2266,91   4543,6
     114  3999,76  2257,76   4714,5
   114,5  3999,76  2257,76   4714,5
     115  3999,76  2257,15  5855,89
   115,5  3999,76  2266,91  5855,89
     116  3999,76  2273,63  7140,72
   116,5  3999,76  2287,67  7140,72
     117  3999,76  2298,65  8079,47
   117,5  3999,76  2302,93  8213,14
     118  3999,76  2329,17  8247,32
   118,5  3999,76  2338,94  8227,18
     119  3999,76  2350,54  8183,84
   119,5  3999,76  2355,42  8130,13
     120  3999,76  2376,78  8080,69
   120,5  3999,76  2393,26  8006,23
     121  3999,76  2397,53  7962,28
   121,5  3999,76  2412,18  7885,98
     122  3999,76  2427,44  7795,04
   122,5  3999,76  2446,36  7718,74
     123  3999,76  2452,47  7650,99
   123,5  3999,76   2483,6  7605,21
     124  3999,76  2497,02  7528,92
   124,5  3999,76  2506,18  7436,75
     125  3999,76  2520,83  7323,22
   125,5  3999,76  2539,75  7240,82
     126  3999,76  2561,72   7163,3
   126,5  3999,76   2578,2  7097,38
     127  3999,76  2603,84  7001,56
   127,5  3999,76   2619,1  6879,48
     128  3999,76  2650,84   6780,6
   128,5  3999,76  2670,37  6665,85
     129  3999,76  2680,75  6526,08
   129,5  3999,76  2690,51  6391,19
     130  3999,76  2708,21  6257,52
   130,5  3999,76  2722,86  6165,96
     131  3999,76  2741,17  6081,12
   131,5  3999,76  2747,28  5996,89
     132  3999,76  2751,55   5903,5
   132,5  3999,76  2774,13  5810,72
     133  3999,76  2780,85   5738,7
   133,5  3999,76   2801,6  5679,49
     134  3999,76  2815,64  5611,13
   134,5  3999,76  2824,18  5543,99
     135  3999,76  2831,51  5476,24
   135,5  3999,76   2848,6  5398,72
     136  3999,76  2860,19  5341,35
   136,5  3999,76  2861,42  5290,08
     137  3999,76   2872,4  5230,87
   137,5  3999,76  2871,18   5155,8
     138  3999,76  2880,34  5097,81
   138,5  3999,76  2889,49  5058,14
     139  3999,76  2886,44  5018,46
   139,5  3999,76  2896,21  4975,13
     140  3999,76  2888,88  4956,21
   140,5  3999,76  2899,87  4953,15
     141  3999,76  2902,92   4932,4
   141,5  3999,76  2905,97  4925,69
     142  3999,76  2911,47  4893,95
   142,5  3999,76  2920,01  4869,53
     143  3999,76  2920,62  4845,12
   143,5  3999,76  2930,39  4813,38
     144  3999,76     2931  4783,47
   144,5  3999,76  2931,61  4756,61
     145  3999,76  2930,39  4749,29
   145,5  3999,76  2929,78  4729,15
     146  3999,76  2926,11   4708,4
   146,5  3999,76  2931,61  4706,56
     147  3999,76  2928,56  4706,56
   147,5  3999,76  2923,67  4705,34
     148  3999,76  2927,34  4701,68
   148,5  3999,76  2924,28  4702,29
     149  3999,76  2920,62   4714,5
   149,5  3999,76  2921,84  4721,21
     150  3999,76  2935,27  4737,08
