Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 12:11:01

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 5
   Valvula_B: 0
   Valvula_C: 2.5

PARAMETROS_DO_CONTROLADOR:
   KP=3
   KI=0.3

Controlo: Nivel2

       Tabela de Dados



  Tempo  SetPoint  Nivel2   Caudal 
       0  3999,76  172,124        0
     0,5  3999,76  179,449  8,54518
       1  3999,76   181,28  8,54518
     1,5  3999,76  182,501  4218,27
       2  3999,76  178,838  4218,27
     2,5  3999,76  172,735  8465,83
       3  3999,76  175,176  8465,83
     3,5  3999,76  184,332  9621,27
       4  3999,76   181,28  9621,27
     4,5  3999,76   180,67  9898,37
       5  3999,76  182,501  9939,27
     5,5  3999,76  217,292  9954,53
       6  3999,76  281,991  9956,36
     6,5  3999,76  328,379  9953,92
       7  3999,76  393,078  9956,97
     7,5  3999,76  419,935  9946,59
       8  3999,76  433,973  9962,46
     8,5  3999,76  472,427  9977,11
       9  3999,76  516,984   9976,5
     9,5  3999,76  546,892  9964,29
      10  3999,76  589,618  9967,34
    10,5  3999,76  650,044  9968,57
      11  3999,76  688,498  9952,09
    11,5  3999,76  723,899  9950,25
      12  3999,76  762,352  9942,93
    12,5  3999,76  815,455  9949,64
      13  3999,76  860,012  9964,29
    13,5  3999,76  893,582  9979,55
      14  3999,76  959,502  9978,33
    14,5  3999,76  1024,81  9979,55
      15  3999,76  1057,77  9987,49
    15,5  3999,76   1112,7  9992,98
      16  3999,76  1163,37   9994,2
    16,5  3999,76  1225,62  9994,81
      17  3999,76  1267,13  9992,98
    17,5  3999,76   1312,3  9986,88
      18  3999,76   1353,8   9994,2
    18,5  3999,76  1410,57  9986,27
      19  3999,76  1444,75  9986,27
    19,5  3999,76  1504,56  9990,54
      20  3999,76  1545,46  9994,81
    20,5  3999,76  1608,94  9986,27
      21  3999,76  1649,83  9980,77
    21,5  3999,76  1697,44  9994,81
      22  3999,76   1736,5  9993,59
    22,5  3999,76   1771,9  9989,32
      23  3999,76  1815,85  9994,81
    23,5  3999,76  1873,23  9992,98
      24  3999,76  1907,41  9992,98
    24,5  3999,76  1950,74  9995,42
      25  3999,76  1998,96  9994,81
    25,5  3999,76  2049,62  9995,42
      26  3999,76  2094,79  9994,81
    26,5  3999,76  2141,79  9995,42
      27  3999,76  2174,14  9974,06
    27,5  3999,76   2207,1  9965,51
      28  3999,76  2257,76  9978,33
    28,5  3999,76  2310,25  9995,42
      29  3999,76  2348,09  9995,42
    29,5  3999,76  2381,66  9995,42
      30  3999,76  2415,23  9995,42
    30,5  3999,76  2467,73  9995,42
      31  3999,76  2511,67  9995,42
    31,5  3999,76  2549,52  9995,42
      32  3999,76   2595,9  9995,42
    32,5  3999,76  2643,51  9995,42
      33  3999,76  2702,11  9995,42
