Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:19:46

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.1

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
       0  3999,76        0        0
     0,5  3999,76        0        0
       1  3999,76        0        0
     1,5  3999,76        0  3104,95
       2  3999,76        0  3104,95
     2,5  3999,76        0  6654,26
       3  3999,76        0  6654,26
     3,5  3999,76        0  8014,77
       4  3999,76        0  8014,77
     4,5  3999,76    32,96  8673,36
       5  3999,76  107,425  8673,36
     5,5  3999,76  171,514  9201,94
       6  3999,76  228,889  9201,94
     6,5  3999,76  308,237  9528,49
       7  3999,76  385,754  9616,38
     7,5  3999,76  480,361  9683,52
       8  3999,76  601,825  9709,16
     8,5  3999,76  733,665  9710,38
       9  3999,76  852,077  9707,33
     9,5  3999,76  965,606  9700,61
      10  3999,76  1065,71     9700
    10,5  3999,76  1159,09  9670,71
      11  3999,76  1268,96  9620,04
    11,5  3999,76  1356,85  9569,38
      12  3999,76  1457,56  9538,25
    12,5  3999,76  1545,46  9487,59
      13  3999,76  1644,34  9421,06
    13,5  3999,76  1741,39  9338,05
      14  3999,76  1826,23  9268,47
    14,5  3999,76  1920,83  9195,84
      15  3999,76   2001,4  9112,83
    15,5  3999,76  2075,26  9032,87
      16  3999,76  2169,87  8961,46
    16,5  3999,76  2278,51  8874,17
      17  3999,76  2347,48  8822,29
    17,5  3999,76  2441,48   8752,1
      18  3999,76  2517,78   8658,1
    18,5  3999,76  2592,85  8529,31
      19  3999,76  2685,63  8418,84
    19,5  3999,76  2765,59   8322,4
      20  3999,76   2825,4  8232,67
    20,5  3999,76  2890,71  8139,29
      21  3999,76  2967,01  8050,78
    21,5  3999,76  3054,29   7963,5
      22  3999,76  3109,23  7871,94
    22,5  3999,76  3180,64  7771,84
      23  3999,76  3240,46  7661,98
    23,5  3999,76  3310,04  7555,16
      24  3999,76  3377,79  7456,89
    24,5  3999,76   3431,5  7349,47
      25  3999,76  3492,54  7236,55
    25,5  3999,76  3550,52   7121,8
      26  3999,76  3611,56  7024,14
    26,5  3999,76  3676,87  6905,12
      27  3999,76  3720,21  6800,13
    27,5  3999,76   3772,7  6666,46
      28  3999,76  3817,26  6557,82
    28,5  3999,76  3864,25  6458,94
      29  3999,76  3900,27  6378,37
    29,5  3999,76  3942,99  6269,11
      30  3999,76  3993,04  6163,52
    30,5  3999,76  4032,72  6064,64
      31  3999,76  4086,43  5978,58
    31,5  3999,76  4127,93  5876,64
      32  3999,76  4160,89  5766,78
    32,5  3999,76  4188,97  5654,47
      33  3999,76  4228,64  5547,65
    33,5  3999,76  4253,67  5439,62
      34  3999,76  4287,85  5338,91
    34,5  3999,76  4319,59  5241,25
      35  3999,76  4354,99   5173,5
    35,5  3999,76  4387,34  5117,95
      36  3999,76  4407,48  5036,16
    36,5  3999,76  4430,68  4940,34
      37  3999,76  4450,21  4857,94
    37,5  3999,76  4475,23  4783,47
      38  3999,76  4497,82  4715,72
    38,5  3999,76  4512,47  4629,05
      39  3999,76  4542,38  4554,58
    39,5  3999,76  4562,52  4489,27
      40  3999,76  4577,78  4425,18
    40,5  3999,76  4594,26  4337,29
      41  3999,76  4607,68  4265,27
    41,5  3999,76  4621,11  4170,66
      42  3999,76  4635,15  4085,21
    42,5  3999,76  4650,41  4008,91
      43  3999,76  4656,51  3929,56
    43,5  3999,76  4675,44  3867,31
      44  3999,76  4676,05  3811,15
    44,5  3999,76  4683,98  3730,58
      45  3999,76  4687,03     3661
    45,5  3999,76  4696,19  3596,91
      46  3999,76  4705,95  3529,16
    46,5  3999,76  4701,68  3487,66
      47  3999,76  4707,79  3443,71
    47,5  3999,76  4715,11  3370,46
      48  3999,76  4721,21  3321,63
    48,5  3999,76   4714,5  3286,84
      49  3999,76   4726,1  3222,14
    49,5  3999,76  4719,38  3157,45
      50  3999,76  4717,55  3097,02
    50,5  3999,76  4713,28  3055,51
      51  3999,76  4717,55  3014,01
    51,5  3999,76  4718,16  2979,83
      52  3999,76  4706,56  2938,32
    52,5  3999,76  4698,63  2893,77
      53  3999,76  4695,58  2855,92
    53,5  3999,76  4694,36  2806,48
      54  3999,76  4687,03  2771,08
    54,5  3999,76  4688,86  2739,34
      55  3999,76  4672,38  2708,21
    55,5  3999,76  4670,55  2681,97
      56  3999,76  4663,23  2646,57
    56,5  3999,76  4658,96  2619,71
      57  3999,76  4652,85  2585,53
    57,5  3999,76  4648,58  2558,06
      58  3999,76  4634,54  2537,31
    58,5  3999,76  4624,77  2517,78
      59  3999,76  4617,45  2476,27
    59,5  3999,76  4600,36  2469,56
      60  3999,76  4588,76  2457,35
    60,5  3999,76  4593,65  2431,71
      61  3999,76  4575,95  2419,51
    61,5  3999,76  4561,91  2410,35
      62  3999,76  4552,75   2389,6
    62,5  3999,76  4542,38  2356,03
      63  3999,76  4536,27  2349,31
    63,5  3999,76  4535,05  2345,04
      64  3999,76  4528,34  2357,25
    64,5  3999,76  4517,96  2364,57
      65  3999,76  4505,75   2313,3
